title,link,cited,relatedLink,position,publishedData
Open hardware/software test bench for solar tracker with virtual instrumentation,https://www.sciencedirect.com/science/article/pii/S2213138818300080,Cited by 20,"https://scholar.google.com/scholar?q=related:uzk6tJ1KQP4J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",19,"S Motahhir, AEL Hammoumi, AEL Ghzizal… - Sustainable Energy …, 2019 - Elsevier"
Internet of Things applied in healthcare based on open hardware with low-energy consumption,https://synapse.koreamed.org/upload/SynapseData/PDFData/1088HIR/hir-25-230.pdf,Cited by 5,"https://scholar.google.com/scholar?q=related:dC3Ler_fEaUJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",20,"LJR Lopez, GP Aponte… - Healthcare informatics …, 2019 - synapse.koreamed.org"
Smart e-bike monitoring system: real-time open source and open hardware GPS assistance and sensor data for electrically-assisted bicycles,https://digital-library.theiet.org/content/journals/10.1049/iet-its.2014.0251,Cited by 48,"https://scholar.google.com/scholar?q=related:YARECsNzueIJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",21,"C Kiefer, F Behrendt - IET Intelligent Transport Systems, 2016 - IET"
A comprehensive IoT node proposal using open hardware. A smart farming use case to monitor vineyards,https://www.mdpi.com/2079-9292/7/12/419,Cited by 21,"https://scholar.google.com/scholar?q=related:b4hxws0VMdwJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",22,"S Trilles, A González-Pérez, J Huerta - Electronics, 2018 - mdpi.com"
An open source and open hardware deep learning-powered visual navigation engine for autonomous nano-UAVs,https://ieeexplore.ieee.org/abstract/document/8804776/,Cited by 19,"https://scholar.google.com/scholar?q=related:C0m_PSPveYIJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",23,"D Palossi, F Conti, L Benini - 2019 15th International …, 2019 - ieeexplore.ieee.org"
Open source hardware,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.464.3275&rep=rep1&type=pdf,Cited by 27,"https://scholar.google.com/scholar?q=related:86m6VctqucMJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",24,"E Rubow - T ech. rep, 2008 - Citeseer"
Comparison of an open-hardware electroencephalography amplifier with medical grade device in brain-computer interface applications,https://arxiv.org/abs/1606.02438,Cited by 38,"https://scholar.google.com/scholar?q=related:RJtZC7_XhhgJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",25,"J Frey - arXiv preprint arXiv:1606.02438, 2016 - arxiv.org"
A low-cost open-hardware wideband multiple-input–multiple-output (MIMO) wireless channel sounder,https://ieeexplore.ieee.org/abstract/document/4484546/,Cited by 58,"https://scholar.google.com/scholar?q=related:eFBJr4q4Lt8J:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",26,"BT Maharaj, JW Wallace, MA Jensen… - IEEE Transactions on …, 2008 - ieeexplore.ieee.org"
Prototyping orientation and motion sensing objects with open hardware,https://dl.acm.org/doi/abs/10.1145/2460625.2460717,Cited by 22,"https://scholar.google.com/scholar?q=related:DMaKLU-1YdAJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",27,"F Varesano - Proceedings of the 7th International Conference on …, 2013 - dl.acm.org"
Photovoltaic device performance evaluation using an open-hardware system and standard calibrated laboratory instruments,https://www.mdpi.com/1996-1073/10/11/1869,Cited by 13,"https://scholar.google.com/scholar?q=related:fCQFkgxQHLoJ:scholar.google.com/&scioq=%22open+hardware%22&hl=en&as_sdt=0,5",28,"J Montes-Romero, M Piliougine, JV Muñoz… - Energies, 2017 - mdpi.com"
